"user_id","perks"
"668083","Free Hotel Meal"
"618181","Exclusive Discounts"
"614412","10% discount"
"536034","Exclusive Discounts"
"217136","Exclusive Discounts"
"519726","Free Hotel Meal"
"566173","Exclusive Discounts"
"558466","Exclusive Discounts"
"603715","Exclusive Discounts"
"509453","Free Hotel Meal"
"542080","Free Hotel Meal"
"485393","1-Night Free Hotel with Flight"
"521785","Exclusive Discounts"
"572898","10% discount"
"523073","Exclusive Discounts"
"566096","Exclusive Discounts"
"592082","Exclusive Discounts"
"552613","Free Hotel Meal"
"563482","Exclusive Discounts"
"509157","Free Hotel Meal"
"563425","Free Hotel Meal"
"552643","Exclusive Discounts"
"532106","Exclusive Discounts"
"657122","Exclusive Discounts"
"516808","Free Hotel Meal"
"101486","Exclusive Discounts"
"547663","Exclusive Discounts"
"467809","Exclusive Discounts"
"511160","Exclusive Discounts"
"543559","Exclusive Discounts"
"600605","Exclusive Discounts"
"557875","Free Hotel Meal"
"431144","Exclusive Discounts"
"530656","Exclusive Discounts"
"508497","Exclusive Discounts"
"635587","Exclusive Discounts"
"627617","Exclusive Discounts"
"499461","Exclusive Discounts"
"574206","Exclusive Discounts"
"639510","Exclusive Discounts"
"639458","Exclusive Discounts"
"636874","Exclusive Discounts"
"511066","Exclusive Discounts"
"671975","Free Hotel Meal"
"550442","Exclusive Discounts"
"503058","Exclusive Discounts"
"510172","Free Hotel Meal"
"566424","Free Hotel Meal"
"510219","Exclusive Discounts"
"684543","Exclusive Discounts"
"538306","Exclusive Discounts"
"561994","Exclusive Discounts"
"534697","Exclusive Discounts"
"536893","Exclusive Discounts"
"548307","Free Hotel Meal"
"621607","Free Hotel Meal"
"517967","Exclusive Discounts"
"606568","Exclusive Discounts"
"563410","Exclusive Discounts"
"503621","Exclusive Discounts"
"547175","Exclusive Discounts"
"520680","Exclusive Discounts"
"581770","Exclusive Discounts"
"561837","Free Hotel Meal"
"460181","Exclusive Discounts"
"532159","Exclusive Discounts"
"595171","Exclusive Discounts"
"513242","Exclusive Discounts"
"513227","Exclusive Discounts"
"567558","Exclusive Discounts"
"569788","Exclusive Discounts"
"511328","Exclusive Discounts"
"583336","Exclusive Discounts"
"575500","Exclusive Discounts"
"543826","Free Hotel Meal"
"572826","Exclusive Discounts"
"584134","Exclusive Discounts"
"625555","No Cancellation Fees"
"477597","Exclusive Discounts"
"583759","Exclusive Discounts"
"550105","Free Hotel Meal"
"481245","Free Hotel Meal"
"513853","Free Hotel Meal"
"538413","No Cancellation Fees"
"646405","Free Hotel Meal"
"545109","Free Hotel Meal"
"716337","Exclusive Discounts"
"510511","Exclusive Discounts"
"521392","Free Hotel Meal"
"557879","No Cancellation Fees"
"570945","Exclusive Discounts"
"513497","Exclusive Discounts"
"526959","Free Hotel Meal"
"454661","Exclusive Discounts"
"539953","Exclusive Discounts"
"536652","Free Hotel Meal"
"521379","Exclusive Discounts"
"568463","Free Hotel Meal"
"600750","Exclusive Discounts"
"519595","Exclusive Discounts"
"504916","No Cancellation Fees"
"582320","Exclusive Discounts"
"584843","No Cancellation Fees"
"721496","Free Hotel Meal"
"623750","Free Hotel Meal"
"582446","No Cancellation Fees"
"510582","Exclusive Discounts"
"426478","No Cancellation Fees"
"547130","No Cancellation Fees"
"528683","Free Hotel Meal"
"517403","No Cancellation Fees"
"563489","Free Hotel Meal"
"532725","No Cancellation Fees"
"531006","Free Hotel Meal"
"631201","Exclusive Discounts"
"534246","Exclusive Discounts"
"566999","No Cancellation Fees"
"531625","Exclusive Discounts"
"519096","Exclusive Discounts"
"449980","1-Night Free Hotel with Flight"
"635666","1-Night Free Hotel with Flight"
"531198","Free Hotel Meal"
"551622","1-Night Free Hotel with Flight"
"629812","1-Night Free Hotel with Flight"
"532064","1-Night Free Hotel with Flight"
"554609","Free Hotel Meal"
"522086","Free Hotel Meal"
"523299","1-Night Free Hotel with Flight"
"577984","Free Hotel Meal"
"566533","1-Night Free Hotel with Flight"
"539962","1-Night Free Hotel with Flight"
"283325","Free Hotel Meal"
"532544","1-Night Free Hotel with Flight"
"601582","Free Hotel Meal"
"598692","Exclusive Discounts"
"548490","Free Hotel Meal"
"552487","Exclusive Discounts"
"620382","Exclusive Discounts"
"572428","Exclusive Discounts"
"550134","Exclusive Discounts"
"512974","Exclusive Discounts"
"532651","Exclusive Discounts"
"707260","Exclusive Discounts"
"576966","Exclusive Discounts"
"511943","Exclusive Discounts"
"518694","Exclusive Discounts"
"557643","Free Hotel Meal"
"487352","Exclusive Discounts"
"567195","Exclusive Discounts"
"520819","Exclusive Discounts"
"576040","Exclusive Discounts"
"550455","Exclusive Discounts"
"689037","Exclusive Discounts"
"538131","Exclusive Discounts"
"550077","Exclusive Discounts"
"513237","Exclusive Discounts"
"583976","Exclusive Discounts"
"601116","Exclusive Discounts"
"571523","Exclusive Discounts"
"576231","Exclusive Discounts"
"540413","Exclusive Discounts"
"526711","Exclusive Discounts"
"546061","Exclusive Discounts"
"547180","Exclusive Discounts"
"558294","Free Hotel Meal"
"572669","10% discount"
"563598","Exclusive Discounts"
"521748","Free Hotel Meal"
"587577","Free Hotel Meal"
"512243","Exclusive Discounts"
"549764","Exclusive Discounts"
"520844","Exclusive Discounts"
"598276","Free Hotel Meal"
"634795","Exclusive Discounts"
"576962","Free Hotel Meal"
"512945","Free Hotel Meal"
"487637","Exclusive Discounts"
"684521","Exclusive Discounts"
"601882","Exclusive Discounts"
"566547","10% discount"
"552088","Exclusive Discounts"
"505414","Free Hotel Meal"
"590130","Exclusive Discounts"
"558786","Exclusive Discounts"
"543437","Exclusive Discounts"
"514275","Exclusive Discounts"
"513776","Exclusive Discounts"
"594985","Free Hotel Meal"
"601894","Exclusive Discounts"
"562315","Exclusive Discounts"
"606094","Free Hotel Meal"
"539669","Exclusive Discounts"
"512589","Free Hotel Meal"
"561331","Free Hotel Meal"
"539283","Exclusive Discounts"
"541240","10% discount"
"642820","Exclusive Discounts"
"533537","Free Hotel Meal"
"577208","Exclusive Discounts"
"639894","1-Night Free Hotel with Flight"
"536313","No Cancellation Fees"
"518393","Exclusive Discounts"
"542326","10% discount"
"532388","Free Hotel Meal"
"476956","10% discount"
"619615","Exclusive Discounts"
"530797","Exclusive Discounts"
"551620","Exclusive Discounts"
"534842","Exclusive Discounts"
"522263","Free Hotel Meal"
"580077","Exclusive Discounts"
"527344","Exclusive Discounts"
"555180","Free Hotel Meal"
"585946","Exclusive Discounts"
"514053","10% discount"
"586270","Exclusive Discounts"
"677896","Free Hotel Meal"
"557492","Exclusive Discounts"
"506807","Exclusive Discounts"
"503928","Exclusive Discounts"
"525244","Exclusive Discounts"
"580971","Free Hotel Meal"
"529845","Free Hotel Meal"
"545771","Exclusive Discounts"
"556830","Free Hotel Meal"
"571913","Exclusive Discounts"
"547836","Exclusive Discounts"
"518956","Exclusive Discounts"
"542850","Exclusive Discounts"
"518092","Exclusive Discounts"
"524644","Free Hotel Meal"
"665397","Exclusive Discounts"
"535600","Exclusive Discounts"
"509445","Free Hotel Meal"
"534190","Free Hotel Meal"
"522420","1-Night Free Hotel with Flight"
"531745","No Cancellation Fees"
"551549","Exclusive Discounts"
"350648","No Cancellation Fees"
"607998","Exclusive Discounts"
"546282","Exclusive Discounts"
"206011","Exclusive Discounts"
"520804","Exclusive Discounts"
"626519","Exclusive Discounts"
"595123","No Cancellation Fees"
"553054","No Cancellation Fees"
"557282","Free Hotel Meal"
"548743","Exclusive Discounts"
"513569","10% discount"
"598691","Free Hotel Meal"
"507557","Exclusive Discounts"
"518716","Free Hotel Meal"
"568013","Exclusive Discounts"
"530649","Exclusive Discounts"
"522112","Exclusive Discounts"
"538112","10% discount"
"614033","Exclusive Discounts"
"249521","Exclusive Discounts"
"500828","Exclusive Discounts"
"443598","Free Hotel Meal"
"566312","Exclusive Discounts"
"501087","Exclusive Discounts"
"570291","Free Hotel Meal"
"561037","10% discount"
"486113","Exclusive Discounts"
